[17-Jan-2021 23:50:13 Asia/Kolkata] PHP Notice:  Undefined index: createdAt in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 9
[17-Jan-2021 23:50:13 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 13
[17-Jan-2021 23:50:13 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 15
[18-Jan-2021 00:04:48 Asia/Kolkata] PHP Notice:  Undefined index: categoryImage in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 6
[18-Jan-2021 00:04:48 Asia/Kolkata] PHP Notice:  Undefined index: singleItemPrice in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 7
[18-Jan-2021 00:04:48 Asia/Kolkata] PHP Notice:  Undefined index: createdAt in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 9
[18-Jan-2021 00:04:48 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 13
[18-Jan-2021 00:04:48 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 15
[18-Jan-2021 00:10:53 Asia/Kolkata] PHP Notice:  Undefined index: categoryImage in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 6
[18-Jan-2021 00:10:53 Asia/Kolkata] PHP Notice:  Undefined index: createdAt in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 9
[18-Jan-2021 00:10:53 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 13
[18-Jan-2021 00:10:53 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 15
[18-Jan-2021 00:12:26 Asia/Kolkata] PHP Notice:  Undefined index: categoryImage in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 6
[18-Jan-2021 00:12:26 Asia/Kolkata] PHP Notice:  Undefined index: createdAt in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 9
[18-Jan-2021 00:12:26 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 13
[18-Jan-2021 00:12:26 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 15
[18-Jan-2021 00:14:54 Asia/Kolkata] PHP Notice:  Undefined index: categoryImage in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 6
[18-Jan-2021 00:14:54 Asia/Kolkata] PHP Notice:  Undefined index: createdAt in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 9
